id,insuranceType,companyName,gender,age,smoker,coverageType,coverageAmount,assetValue,vehicleYear,vehicleType,apartmentSizeSqm,apartmentFloor,city,addOns,monthlyPremiumNis,yearlyPremiumNis,deductibleNis,coverageSummary,score,dataSourceType,basedOn,isRealQuote,createdAt
health-male-30-01,health,Phoenix,male,30,,basic,150000,,,,,,,,105,1260,250,basic health package with 150000 NIS indicative coverage,76,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-30-02,health,Harel,male,30,,standard_private_surgery,300000,,,,,,,private_surgery,135,1620,450,standard private surgery health package with 300000 NIS indicative coverage,79,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-30-03,health,Direct Insurance,male,30,,premium_private_surgery_consultations,500000,,,,,,,private_surgery;specialist_consultations,170,2040,550,premium private surgery consultations health package with 500000 NIS indicative coverage,77,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-30-04,health,Clal,male,30,,premium_surgery_drugs_transplants,750000,,,,,,,private_surgery;drugs_outside_basket;transplants,218,2616,500,premium surgery drugs transplants health package with 750000 NIS indicative coverage,82,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-30-05,health,Libra,male,30,,family_extended_consultations,400000,,,,,,,specialist_consultations;ambulatory_services,144,1728,500,family extended consultations health package with 400000 NIS indicative coverage,79,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-30-01,health,Migdal,female,30,,basic,150000,,,,,,,,97,1164,250,basic health package with 150000 NIS indicative coverage,75,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-30-02,health,Menora Mivtachim,female,30,,standard_private_surgery,300000,,,,,,,private_surgery,133,1596,450,standard private surgery health package with 300000 NIS indicative coverage,76,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-30-03,health,WeSure,female,30,,premium_private_surgery_consultations,500000,,,,,,,private_surgery;specialist_consultations,177,2124,500,premium private surgery consultations health package with 500000 NIS indicative coverage,79,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-30-04,health,Ayalon,female,30,,premium_surgery_drugs_transplants,750000,,,,,,,private_surgery;drugs_outside_basket;transplants,212,2544,500,premium surgery drugs transplants health package with 750000 NIS indicative coverage,80,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-30-05,health,Shlomo Insurance,female,30,,family_extended_consultations,400000,,,,,,,specialist_consultations;ambulatory_services,140,1680,550,family extended consultations health package with 400000 NIS indicative coverage,75,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-40-01,health,Harel,male,40,,basic,150000,,,,,,,,148,1776,250,basic health package with 150000 NIS indicative coverage,76,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-40-02,health,Phoenix,male,40,,standard_private_surgery,300000,,,,,,,private_surgery,205,2460,400,standard private surgery health package with 300000 NIS indicative coverage,79,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-40-03,health,Migdal,male,40,,premium_private_surgery_consultations,500000,,,,,,,private_surgery;specialist_consultations,273,3276,450,premium private surgery consultations health package with 500000 NIS indicative coverage,80,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-40-04,health,Clal,male,40,,premium_surgery_drugs_transplants,750000,,,,,,,private_surgery;drugs_outside_basket;transplants,319,3828,500,premium surgery drugs transplants health package with 750000 NIS indicative coverage,82,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-40-05,health,Ayalon,male,40,,family_extended_consultations,400000,,,,,,,specialist_consultations;ambulatory_services,216,2592,500,family extended consultations health package with 400000 NIS indicative coverage,77,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-40-01,health,Menora Mivtachim,female,40,,basic,150000,,,,,,,,145,1740,250,basic health package with 150000 NIS indicative coverage,74,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-40-02,health,Libra,female,40,,standard_private_surgery,300000,,,,,,,private_surgery,173,2076,500,standard private surgery health package with 300000 NIS indicative coverage,76,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-40-03,health,Direct Insurance,female,40,,premium_private_surgery_consultations,500000,,,,,,,private_surgery;specialist_consultations,248,2976,550,premium private surgery consultations health package with 500000 NIS indicative coverage,77,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-40-04,health,WeSure,female,40,,premium_surgery_drugs_transplants,750000,,,,,,,private_surgery;drugs_outside_basket;transplants,313,3756,500,premium surgery drugs transplants health package with 750000 NIS indicative coverage,82,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-40-05,health,Shlomo Insurance,female,40,,family_extended_consultations,400000,,,,,,,specialist_consultations;ambulatory_services,204,2448,550,family extended consultations health package with 400000 NIS indicative coverage,75,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-55-01,health,Ayalon,male,55,,basic,150000,,,,,,,,230,2760,300,basic health package with 150000 NIS indicative coverage,72,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-55-02,health,Harel,male,55,,standard_private_surgery,300000,,,,,,,private_surgery,343,4116,450,standard private surgery health package with 300000 NIS indicative coverage,79,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-55-03,health,Phoenix,male,55,,premium_private_surgery_consultations,500000,,,,,,,private_surgery;specialist_consultations,517,6204,400,premium private surgery consultations health package with 500000 NIS indicative coverage,82,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-55-04,health,Libra,male,55,,premium_surgery_drugs_transplants,750000,,,,,,,private_surgery;drugs_outside_basket;transplants,526,6312,500,premium surgery drugs transplants health package with 750000 NIS indicative coverage,82,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-55-05,health,Direct Insurance,male,55,,family_extended_consultations,400000,,,,,,,specialist_consultations;ambulatory_services,362,4344,550,family extended consultations health package with 400000 NIS indicative coverage,77,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-55-01,health,Clal,female,55,,basic,150000,,,,,,,,238,2856,250,basic health package with 150000 NIS indicative coverage,74,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-55-02,health,Migdal,female,55,,standard_private_surgery,300000,,,,,,,private_surgery,327,3924,450,standard private surgery health package with 300000 NIS indicative coverage,77,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-55-03,health,Menora Mivtachim,female,55,,premium_private_surgery_consultations,500000,,,,,,,private_surgery;specialist_consultations,488,5856,450,premium private surgery consultations health package with 500000 NIS indicative coverage,79,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-55-04,health,WeSure,female,55,,premium_surgery_drugs_transplants,750000,,,,,,,private_surgery;drugs_outside_basket;transplants,543,6516,500,premium surgery drugs transplants health package with 750000 NIS indicative coverage,82,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-55-05,health,Shlomo Insurance,female,55,,family_extended_consultations,400000,,,,,,,specialist_consultations;ambulatory_services,354,4248,550,family extended consultations health package with 400000 NIS indicative coverage,75,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-70-01,health,Harel,male,70,,basic,150000,,,,,,,,476,5712,250,basic health package with 150000 NIS indicative coverage,76,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-70-02,health,Phoenix,male,70,,standard_private_surgery,300000,,,,,,,private_surgery,659,7908,400,standard private surgery health package with 300000 NIS indicative coverage,79,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-70-03,health,Migdal,male,70,,premium_private_surgery_consultations,500000,,,,,,,private_surgery;specialist_consultations,876,10512,450,premium private surgery consultations health package with 500000 NIS indicative coverage,80,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-70-04,health,Clal,male,70,,premium_surgery_drugs_transplants,750000,,,,,,,private_surgery;drugs_outside_basket;transplants,1025,12300,500,premium surgery drugs transplants health package with 750000 NIS indicative coverage,82,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-70-05,health,Ayalon,male,70,,family_extended_consultations,400000,,,,,,,specialist_consultations;ambulatory_services,692,8304,500,family extended consultations health package with 400000 NIS indicative coverage,77,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-70-01,health,Menora Mivtachim,female,70,,basic,150000,,,,,,,,467,5604,250,basic health package with 150000 NIS indicative coverage,74,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-70-02,health,Libra,female,70,,standard_private_surgery,300000,,,,,,,private_surgery,555,6660,500,standard private surgery health package with 300000 NIS indicative coverage,76,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-70-03,health,Direct Insurance,female,70,,premium_private_surgery_consultations,500000,,,,,,,private_surgery;specialist_consultations,796,9552,550,premium private surgery consultations health package with 500000 NIS indicative coverage,77,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-70-04,health,WeSure,female,70,,premium_surgery_drugs_transplants,750000,,,,,,,private_surgery;drugs_outside_basket;transplants,1003,12036,500,premium surgery drugs transplants health package with 750000 NIS indicative coverage,82,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-70-05,health,Shlomo Insurance,female,70,,family_extended_consultations,400000,,,,,,,specialist_consultations;ambulatory_services,655,7860,550,family extended consultations health package with 400000 NIS indicative coverage,75,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
